ID,Term,Abbreviation / Expansion,Plain-Language Definition,Category,Specialty,NCLEX Relevance,Related Terms,Editorial Status,Search Keywords
161,Nonmaleficence,,The ethical duty to avoid causing harm.,Ethics & Legal,All,High,Beneficence; Ethics,Curated core release,nonmaleficence  beneficence; ethics
162,Nosocomial infection,,An infection acquired in a healthcare setting; healthcare-associated infection is the preferred modern term.,Infection Control,All,Medium,HAI; Infection prevention,Curated core release,nosocomial infection  hai; infection prevention
163,NPO,Nothing by mouth,"An order indicating that a patient should not take food, fluids, or medications orally unless specifically permitted.",Fundamentals,All,High,Aspiration; Preoperative care,Curated core release,npo nothing by mouth aspiration; preoperative care
164,Oliguria,,Lower-than-expected urine output.,Renal,Med-Surg,High,Anuria; AKI,Curated core release,oliguria  anuria; aki
165,Ondansetron,,An antiemetic commonly used to prevent or treat nausea and vomiting.,Pharmacology,All,Medium,Antiemetic; QT interval,Curated core release,ondansetron  antiemetic; qt interval
166,Opioid,,"A class of drugs that acts on opioid receptors to produce analgesia and other effects, including respiratory depression.",Pharmacology,All,High,Naloxone; Respiratory depression,Curated core release,opioid  naloxone; respiratory depression
167,Orientation,,"Awareness of person, place, time, and situation.",Neurologic,All,High,Mental status; Confusion,Curated core release,orientation  mental status; confusion
168,Orthostatic hypotension,,"A drop in blood pressure associated with changing to an upright position, often causing dizziness or faintness.",Cardiovascular,All,High,Fall risk; Blood pressure,Curated core release,orthostatic hypotension  fall risk; blood pressure
169,Oxygen saturation,SpO2,"The percentage of hemoglobin carrying oxygen, commonly estimated by pulse oximetry.",Respiratory,All,High,Pulse oximetry; Hypoxemia,Curated core release,oxygen saturation spo2 pulse oximetry; hypoxemia
170,Palliative care,,Care focused on relief of symptoms and stress of serious illness at any stage of disease.,Palliative & Hospice,All,High,Hospice; Goals of care,Curated core release,palliative care  hospice; goals of care
171,Parenteral nutrition,PN,Nutrition delivered intravenously when the gastrointestinal tract cannot be used adequately.,Nutrition,Critical Care,High,TPN; Central line,Curated core release,parenteral nutrition pn tpn; central line
172,Patient-controlled analgesia,PCA,A medication delivery system that allows a patient to self-administer preset doses of analgesic within programmed safety limits.,Pain Management,All,High,Opioid; Respiratory assessment,Curated core release,patient-controlled analgesia pca opioid; respiratory assessment
173,Perfusion,,Delivery of oxygenated blood to body tissues.,Cardiovascular,All,High,Circulation; Shock,Curated core release,perfusion  circulation; shock
174,Peripherally inserted central catheter,PICC,A central venous catheter inserted through a peripheral vein for medium- or long-term access.,IV Therapy,All,High,Central line; CLABSI,Curated core release,peripherally inserted central catheter picc central line; clabsi
175,Petechiae,,Tiny pinpoint areas of bleeding under the skin or mucous membranes.,Skin & Wound,All,Medium,Platelets; Bleeding,Curated core release,petechiae  platelets; bleeding
176,Phlebitis,,"Inflammation of a vein, often causing pain, redness, warmth, or swelling along an IV site.",IV Therapy,All,High,Infiltration; IV therapy,Curated core release,phlebitis  infiltration; iv therapy
177,Pitting edema,,Edema that leaves an indentation after pressure is applied.,Assessment,All,Medium,Edema; Fluid overload,Curated core release,pitting edema  edema; fluid overload
178,Platelets,,Blood cell fragments essential for clot formation.,Hematology,All,High,Thrombocytopenia; Bleeding,Curated core release,platelets  thrombocytopenia; bleeding
179,Pneumonia,,Infection or inflammation of lung tissue that can impair gas exchange.,Respiratory,Med-Surg,High,Crackles; Hypoxemia,Curated core release,pneumonia  crackles; hypoxemia
180,Pneumothorax,,Air in the pleural space that can partially or completely collapse a lung.,Respiratory,ER,High,Tension pneumothorax; Chest tube,Curated core release,pneumothorax  tension pneumothorax; chest tube
181,Polyuria,,Production of abnormally large amounts of urine.,Renal,All,Medium,Diabetes mellitus; Diuresis,Curated core release,polyuria  diabetes mellitus; diuresis
182,Preeclampsia,,A pregnancy-specific hypertensive disorder with new-onset hypertension and associated organ dysfunction after 20 weeks of gestation.,Maternal-Newborn,L&D,High,Proteinuria; Magnesium sulfate,Curated core release,preeclampsia  proteinuria; magnesium sulfate
183,Preload,,The degree of ventricular filling and stretch before contraction.,Cardiovascular,Critical Care,High,Afterload; Stroke volume,Curated core release,preload  afterload; stroke volume
184,Pressure injury,,Localized damage to skin or underlying tissue caused by pressure or pressure combined with shear.,Skin & Wound,All,High,Repositioning; Skin assessment,Curated core release,pressure injury  repositioning; skin assessment
185,PRN,As needed,A medication or treatment order given when a defined need or condition is present.,Pharmacology,All,High,Medication order; Indication,Curated core release,prn as needed medication order; indication
186,Proteinuria,,Excess protein in the urine.,Renal,L&D,High,Preeclampsia; Kidney disease,Curated core release,proteinuria  preeclampsia; kidney disease
187,Pulse oximetry,,A noninvasive method for estimating oxygen saturation.,Respiratory,All,High,SpO2; Hypoxemia,Curated core release,pulse oximetry  spo2; hypoxemia
188,Range of motion,ROM,The extent of movement possible at a joint.,Mobility,All,Medium,Contracture; Mobility,Curated core release,range of motion rom contracture; mobility
189,Rebound tenderness,,"Pain that worsens when pressure on the abdomen is suddenly released, suggesting peritoneal irritation.",Assessment,ER,High,Peritonitis; Abdominal assessment,Curated core release,rebound tenderness  peritonitis; abdominal assessment
190,Respiratory acidosis,,"An acid-base disorder caused by inadequate carbon dioxide elimination, leading to increased PaCO2 and decreased pH.",Acid-Base,Critical Care,High,Hypoventilation; ABG,Curated core release,respiratory acidosis  hypoventilation; abg
191,Respiratory alkalosis,,"An acid-base disorder caused by excessive carbon dioxide elimination, leading to decreased PaCO2 and increased pH.",Acid-Base,Critical Care,High,Hyperventilation; ABG,Curated core release,respiratory alkalosis  hyperventilation; abg
192,Respiratory depression,,Breathing that is too slow or shallow to provide adequate ventilation.,Respiratory,All,High,Opioid; Naloxone,Curated core release,respiratory depression  opioid; naloxone
193,Rhonchi,,"Low-pitched, coarse breath sounds often associated with secretions in larger airways.",Assessment,Respiratory,Medium,Crackles; Wheeze,Curated core release,rhonchi  crackles; wheeze
194,SBAR,"Situation, Background, Assessment, Recommendation",A structured communication framework used to organize concise clinical handoffs and updates.,Communication,All,High,Handoff; Clinical communication,Curated core release,"sbar situation, background, assessment, recommendation handoff; clinical communication"
195,Seizure precautions,,Safety measures used to reduce injury risk in a patient at risk for seizures.,Safety,All,High,Seizure; Airway,Curated core release,seizure precautions  seizure; airway
196,Sepsis,,Life-threatening organ dysfunction caused by a dysregulated response to infection.,Emergency,Critical Care,High,Lactate; Septic shock,Curated core release,sepsis  lactate; septic shock
197,Septic shock,,A severe form of sepsis with persistent circulatory and metabolic abnormalities that markedly increase mortality risk.,Emergency,Critical Care,High,Sepsis; Vasopressor,Curated core release,septic shock  sepsis; vasopressor
198,Shock,,A state of inadequate tissue perfusion that can lead to organ dysfunction.,Emergency,Critical Care,High,Hypotension; Perfusion,Curated core release,shock  hypotension; perfusion
199,Side effect,,"A secondary effect of a medication that may be expected and can be beneficial, neutral, or undesirable.",Pharmacology,All,High,Adverse effect; Medication,Curated core release,side effect  adverse effect; medication
200,Standard precautions,,Baseline infection-prevention practices used for the care of all patients.,Infection Control,All,High,Hand hygiene; PPE,Curated core release,standard precautions  hand hygiene; ppe
201,Stroke volume,SV,The amount of blood ejected by a ventricle with each heartbeat.,Cardiovascular,Critical Care,Medium,Cardiac output; Preload,Curated core release,stroke volume sv cardiac output; preload
202,Subcutaneous,SubQ,A route of medication administration into tissue beneath the skin.,Medication Administration,All,High,Insulin; Heparin,Curated core release,subcutaneous subq insulin; heparin
203,Syncope,,A brief loss of consciousness caused by temporary reduction in blood flow to the brain.,Neurologic,All,Medium,Fainting; Orthostatic hypotension,Curated core release,syncope  fainting; orthostatic hypotension
204,Systolic blood pressure,SBP,The arterial pressure during ventricular contraction.,Cardiovascular,All,High,Diastolic blood pressure; MAP,Curated core release,systolic blood pressure sbp diastolic blood pressure; map
205,Tachycardia,,A heart rate faster than the expected range for the patient's age and condition.,Cardiovascular,All,High,Heart rate; Dysrhythmia,Curated core release,tachycardia  heart rate; dysrhythmia
206,Tachypnea,,A respiratory rate faster than the expected range.,Respiratory,All,High,Dyspnea; Respiratory distress,Curated core release,tachypnea  dyspnea; respiratory distress
207,Thrombocytopenia,,A lower-than-normal platelet count that can increase bleeding risk.,Hematology,All,High,Platelets; Bleeding precautions,Curated core release,thrombocytopenia  platelets; bleeding precautions
208,Thrombus,,A blood clot that forms within a vessel or the heart.,Cardiovascular,All,High,Embolus; DVT,Curated core release,thrombus  embolus; dvt
209,Total parenteral nutrition,TPN,"A concentrated intravenous nutrition solution that supplies macronutrients and micronutrients, often through central venous access.",Nutrition,Critical Care,High,Parenteral nutrition; Central line,Curated core release,total parenteral nutrition tpn parenteral nutrition; central line
210,Triage,,The process of prioritizing patients according to urgency and clinical need.,Emergency,ER,High,Acuity; Prioritization,Curated core release,triage  acuity; prioritization
211,Urinary tract infection,UTI,An infection involving part of the urinary system.,Renal,All,High,CAUTI; Dysuria,Curated core release,urinary tract infection uti cauti; dysuria
212,Vasopressor,,A medication that raises vascular tone and blood pressure to support perfusion.,Pharmacology,Critical Care,High,Norepinephrine; Shock,Curated core release,vasopressor  norepinephrine; shock
213,Ventilation,,Movement of air into and out of the lungs.,Respiratory,All,High,Oxygenation; PaCO2,Curated core release,ventilation  oxygenation; paco2
214,Vesicant,,A substance that can cause severe tissue damage if it leaks outside the vein.,IV Therapy,Oncology,High,Extravasation; Chemotherapy,Curated core release,vesicant  extravasation; chemotherapy
215,Warfarin,,An oral anticoagulant that reduces synthesis of vitamin K-dependent clotting factors.,Pharmacology,All,High,INR; Bleeding,Curated core release,warfarin  inr; bleeding
216,Wheezing,,A high-pitched musical breath sound caused by narrowed airways.,Assessment,Respiratory,High,Bronchospasm; Asthma,Curated core release,wheezing  bronchospasm; asthma
217,White blood cell count,WBC,"A measurement of circulating white blood cells used in evaluating infection, inflammation, and bone marrow function.",Labs & Diagnostics,All,High,Leukocytosis; Leukopenia,Curated core release,white blood cell count wbc leukocytosis; leukopenia
